醫療機構名稱,地址,連絡電話,項目
展立心理治療所,臺北市士林區中山北路五段527號3樓,(02)28830823,心理治療
奈思語言治療所,臺北市士林區中山北路五段685號10樓,,語言治療
愛能職能治療所,臺北市士林區天母北路10-1號1樓,(02)28768354,職能治療
天母品恆復健科診所,臺北市士林區忠誠路一段137號,(02)28386855,"物理治療, 職能治療, 語言治療, 心理治療"
用心說心理治療所,臺北市士林區福國路56巷17號1樓,,心理治療
用心說語言治療所,臺北市士林區福國路56巷17號1樓,,語言治療
宜康復健科診所,臺北市大同區民族西路124號,(02)25851555,職能治療
新旅程復健科診所,臺北市大同區民權西路237-9號、237之7號,(02)25858286,"物理治療, 職能治療"
大步語言治療所,臺北市大安區仁愛路四段122巷63號6樓之2,,語言治療
適群診所,臺北市大安區四維路198巷32號,(02)27553700,"物理治療, 職能治療, 語言治療"
適健復健科診所,臺北市大安區忠孝東路四段166號8樓,(02)87717039,"職能治療, 語言治療"
達仁診所,臺北市大安區信義路二段208號4樓,(02)23940006,"物理治療, 職能治療, 語言治療"
童伴心理治療所,臺北市大安區信義路三段190號6樓,(02)27555429,心理治療
杏誠復健科診所,臺北市大安區信義路四段173號2樓,(02)27061732,"物理治療, 職能治療, 語言治療"
仁生復健科診所,臺北市大安區信義路四段265巷17號1-2樓,(02)27030336,"物理治療, 職能治療, 語言治療"
萌語語言治療所,臺北市大安區復興南路一段323路9樓,(02)27000700,語言治療
大安宏兒職能治療所,臺北市大安區復興南路二段210巷20號,(02)29907792,職能治療
永誠復健科診所,臺北市大安區復興南路二段236號2樓,(02)27071608,"物理治療, 職能治療, 語言治療"
宇寧身心診所,臺北市大安區復興南路二段6號3樓,(02)27080706,心理治療
愛能大直職能治療所,臺北市中山區北安路595巷21號1樓,(02)28509112,職能治療
森林語言治療所,臺北市中山區民生西路16號5樓,(02)25239411,語言治療
珂斯汀物理治療所,臺北市中山區民生東路三段88巷8號1樓,,物理治療
承安診所(興安),臺北市中山區民生東路三段90號,(02)25032633,"職能治療, 語言治療"
響響語言治療所,臺北市中山區吉林路236巷5號,(02)25810992,語言治療
睦霖復健科診所,臺北市中山區松江路274號2樓,(02)25113500,"物理治療, 職能治療, 語言治療"
珂斯汀職能治療所,臺北市中山區松江路530號2樓,,職能治療
博士聽力所,臺北市中山區復興北路164號7樓之1,(02)27185125,語言治療
邁愷爾心理治療所,臺北市中山區復興北路50號4樓,(02)27217557,心理治療
童樂語言治療所,臺北市中山區撫順街41巷1-6號,,語言治療
